id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,1715532696240,-0.49,-0.57,1.43,-32.20333333333333,114.60333333333334,-43.946666666666665
1,1715532696250,-0.9399999999999998,-0.31,1.37,-44.13,178.71,-38.76
2,1715532696260,-0.94,-0.31,1.37,-44.13,178.71,-38.76
3,1715532696270,-0.94,-0.31,1.37,-44.13,178.71,-38.76
4,1715532696280,-0.9399999999999998,-0.31,1.37,-44.13,178.71,-38.76
5,1715532696290,-0.6983333333333334,-0.20166666666666666,1.1116666666666666,-131.66333333333333,97.22666666666667,-46.593333333333334
6,1715532696300,-0.65,-0.18000000000000002,1.06,-149.17,80.93,-48.16
7,1715532696310,-0.65,-0.18,1.06,-149.17,80.93,-48.16
8,1715532696320,-0.6266666666666666,-0.18999999999999997,0.9533333333333335,-153.42166666666665,81.29666666666667,-42.13666666666666
9,1715532696330,-0.58,-0.21,0.7399999999999999,-174.67999999999998,83.13,-12.020000000000001
10,1715532696340,-0.58,-0.21,0.7399999999999999,-174.67999999999998,83.13,-12.020000000000001
11,1715532696350,-0.58,-0.21000000000000002,0.74,-174.68,83.13,-12.02
12,1715532696360,-0.44999999999999996,-0.19000000000000003,0.69,-142.3,105.41000000000001,6.23
13,1715532696370,-0.32,-0.17,0.64,-109.92,127.69,24.48
14,1715532696380,-0.32,-0.17,0.64,-109.92,127.69000000000001,24.48
15,1715532696390,-0.32,-0.17,0.64,-109.92,127.69000000000001,24.48
16,1715532696400,-0.42,-0.19666666666666666,0.7866666666666666,-105.04,81.17666666666666,32.28666666666667
17,1715532696410,-0.4699999999999999,-0.21000000000000002,0.86,-102.6,57.92,36.19
18,1715532696420,-0.4699999999999999,-0.21000000000000002,0.86,-102.6,57.92,36.19
19,1715532696430,-0.4699999999999999,-0.21000000000000002,0.86,-102.6,57.92,36.19
20,1715532696440,-0.39,-0.06599999999999999,0.804,-89.46400000000001,8.016,40.39
21,1715532696450,-0.37,-0.03,0.79,-86.18,-4.46,41.44
22,1715532696460,-0.37,-0.03,0.79,-86.18,-4.46,41.44
23,1715532696470,-0.37,-0.03,0.79,-86.18,-4.46,41.44
24,1715532696480,-0.37,-0.03,0.79,-86.18,-4.46,41.44
25,1715532696490,-0.37,-0.03,0.79,-86.18,-4.46,41.44
26,1715532696500,-0.37,-0.03,0.79,-86.18,-4.46,41.44
27,1715532696510,-0.37,-0.03,0.79,-86.18,-4.46,41.44
28,1715532696520,-0.37,-0.03,0.79,-86.18,-4.46,41.44
29,1715532696530,-0.37,-0.03,0.79,-86.18,-4.46,41.44
30,1715532696540,-0.25,0.67,2.36,-219.3,-5.98,107.23999999999998
31,1715532696550,-0.25,0.67,2.36,-219.3,-5.98,107.24
32,1715532696560,-0.76,0.475,2.8025,-98.4975,33.709999999999994,69.7025
