id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,1715789561.3925824,0.28457075,0.041733786,1.2600981,2.585258,-3.193909,0.3198643
1,1715789561.416164,0.47737598,0.09298581,1.5054061,2.585258,-3.193909,0.3198643
2,1715789561.4171503,0.5203605,0.05344854,1.5019894,3.424587,-3.9025126,0.2569452
3,1715789561.424256,0.5203605,0.05344854,1.5019894,3.7813323,-3.968486,0.33269247
4,1715789561.4271493,0.46883395,0.039781332,1.3225768,3.7813323,-3.968486,0.33269247
5,1715789561.4291682,0.46883395,0.039781332,1.3225768,3.8833468,-4.042401,0.4359287
6,1715789561.431167,0.42148685,0.0622346,1.2679079,3.8833468,-4.042401,0.4359287
7,1715789561.4471705,0.42148685,0.0622346,1.2679079,3.8833468,-4.2476516,0.6014732
8,1715789561.4491713,0.42783237,0.08615221,1.2456987,4.058054,-4.2476516,0.6014732
9,1715789561.4611742,0.42783237,0.08615221,1.2456987,4.2315397,-4.4816127,0.6668358
10,1715789561.4631703,0.4651731,0.07590181,1.1988398,4.474664,-4.7516155,0.6503424
11,1715789561.4641747,0.4685899,0.14594623,1.2222692,4.474664,-4.7516155,0.6503424
12,1715789561.4791777,0.26236153,0.191829,0.95966357,5.3952384,-4.9941287,0.6149122
13,1715789561.4962053,0.061502427,0.24527754,0.80517536,5.726327,-5.3887477,0.7224245
14,1715789561.5042071,0.061502427,0.24527754,0.80517536,5.866215,-5.672189,0.87636256
15,1715789561.506208,-0.061502427,0.19280522,0.5635587,5.866215,-5.672189,0.87636256
16,1715789561.5137603,0.016107777,0.29482117,0.29311275,5.7935224,-5.650198,1.060233
17,1715789561.536765,0.0017084008,0.62921005,-0.0690682,5.7935224,-5.650198,1.060233
18,1715789561.5387661,0.0017084008,0.62921005,-0.0690682,5.0323844,-5.0643783,1.0584004
19,1715789561.5417666,-0.20134723,0.7507506,-0.24820623,4.725119,-4.770552,1.2037864
20,1715789561.553769,-0.20134723,1.0260471,-0.3487578,4.5485787,-4.1248674,1.332068
21,1715789561.5557554,-0.32459614,1.0260471,-0.3487578,4.5485787,-4.1248674,1.332068
22,1715789561.5627716,-0.20110317,0.9694259,-0.31312546,4.34455,-3.9293907,1.4707345
23,1715789561.5737739,-0.20110317,0.9694259,-0.31312546,4.28102,-3.3234124,1.5251014
24,1715789561.5767744,-0.1701079,1.0875497,-0.34656128,4.28102,-3.3234124,1.5251014
25,1715789561.5827758,-0.094206095,1.2034768,-0.44516042,4.1509056,-2.7681358,1.4316391
26,1715789561.5988038,-0.094206095,1.2034768,-0.44516042,4.1509056,-2.7681358,1.1304824
27,1715789561.6008043,-0.035632357,1.2505798,-0.4510178,4.1515164,-2.4895813,1.1304824
28,1715789561.6080642,-0.035632357,1.4382598,-0.47639978,4.322559,-2.2947154,0.9704358
29,1715789561.6106412,-0.15107143,1.4382598,-0.47639978,4.322559,-2.2947154,0.9704358
