id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,1715789488.3286848,0.19280522,0.25528386,0.89303595,0.009850202,0.04734206,-0.025885414
1,1715789488.335634,0.2997023,0.2767609,0.85886794,0.44845146,-0.50488013,0.12988523
2,1715789488.3529627,0.2997023,0.2767609,0.85886794,0.44845146,-0.41447207,-0.13645202
3,1715789488.3543983,0.53305155,0.32117933,0.8098125,0.30123293,-0.41447207,-0.13645202
4,1715789488.3724318,0.53305155,0.29872608,0.9262278,0.045280386,-0.28313604,-0.37102428
5,1715789488.3738053,0.6267695,0.29872608,0.9262278,0.045280386,-0.28313604,-0.37102428
6,1715789488.399982,0.63506746,0.19963883,0.8669218,0.5584072,-0.763887,-0.3777438
7,1715789488.4014935,0.62872195,0.090789296,0.6238408,0.9151525,-1.3240504,-0.33253977
8,1715789488.4183981,0.7922403,0.061746486,0.5118186,1.2890021,-1.8463402,-0.33376148
9,1715789488.4415894,0.7922403,0.061746486,0.5118186,1.2890021,-3.3185256,-0.5585599
10,1715789488.4441051,0.8842499,-0.24991462,0.28969595,3.075172,-3.3185256,-0.5585599
11,1715789488.4653568,0.79053193,-0.3909797,0.16595893,3.075172,-3.3185256,-0.5585599
12,1715789488.4666505,0.6487347,-0.45809543,-0.0370967,4.475886,-4.966029,-0.23724478
13,1715789488.4807312,0.6487347,-0.45809543,-0.0370967,4.475886,-4.966029,0.09140071
14,1715789488.4822109,0.61237013,-0.48542988,-0.41343296,4.6786933,-5.454721,0.09140071
15,1715789488.4901218,0.61237013,-0.48542988,-0.41343296,3.0922763,-6.0570345,0.7737372
16,1715789488.4936285,0.7815018,-0.7280533,-1.2483834,3.0922763,-6.0570345,0.7737372
17,1715789488.510747,0.7348869,-0.75734013,-1.1644276,1.8546633,-6.3282585,1.1200978
18,1715789488.5231707,0.7348869,-0.8742436,-0.67118794,0.23770294,-6.66118,1.9282725
19,1715789488.5246818,0.7424526,-0.8742436,-0.67118794,0.23770294,-6.66118,1.9282725
20,1715789488.5369318,0.7424526,-0.8742436,-0.67118794,0.23770294,-6.66118,2.3680954
21,1715789488.5387855,0.77198356,-0.93891877,-0.39976576,-0.23877195,-6.6733975,2.3680954
22,1715789488.5464215,0.7944369,-0.9821169,0.040513504,-0.6089563,-6.4180555,3.1707723
23,1715789488.5632043,0.7944369,-0.9821169,0.040513504,-0.6089563,-5.6947913,4.745583
24,1715789488.5644093,0.85740364,-0.8288489,0.23966423,-0.9211084,-5.6947913,4.745583
25,1715789488.582475,0.9721105,-0.77051926,0.2596769,-1.2295954,-5.446169,5.402874
26,1715789488.5854244,1.1131755,-0.6248171,0.44735694,-1.6706401,-5.1853294,6.2751894
27,1715789488.5998924,2.055023,-0.017572122,1.0524054,-2.1495585,-4.4186935,7.547011
28,1715789488.6241236,2.055023,-0.017572122,1.0524054,-2.2479076,-3.7320812,7.502418
29,1715789488.6255958,3.442275,1.1449031,1.5793555,-2.3853524,-3.0967813,7.102912
30,1715789488.6386774,4.5061817,2.9556248,2.3842564,-2.622368,-1.9990565,6.004576
31,1715789488.6408544,4.5061817,2.9556248,2.3842564,-2.8581622,-0.15851954,3.4878116
32,1715789488.685778,4.5061817,2.9556248,2.7498844,0.20288362,3.244,-2.6678777
33,1715789488.6884577,2.6776435,3.3856537,2.7498844,0.20288362,3.244,-2.6678777
