id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,1715411887960,-0.4616438356164384,0.7694520547945206,0.1419178082191781,49.8927397260274,0.8326027397260274,139.19342465753425
1,1715411887970,-0.46,0.77,0.14,50.6,0.12000000000000001,139.65
2,1715411887980,-0.4600000000000001,0.77,0.14,50.6,0.12,139.65
3,1715411887990,-0.456830985915493,0.7671830985915493,0.14105633802816903,50.6,0.12,139.65
4,1715411888000,-0.37,0.69,0.17,49.842424242424244,-22.19060606060606,163.86401515151513
5,1715411888010,-0.37,0.69,0.17,49.8,-23.44,165.21999999999997
6,1715411888020,-0.37,0.69,0.17,49.8,-23.44,165.22
7,1715411888030,-0.3248872180451128,0.6719548872180451,0.15195488721804512,50.984210526315785,-21.82421052631579,167.88165413533832
8,1715411888040,-0.22,0.63,0.11,65.55,-1.95,200.62
9,1715411888050,-0.22,0.63,0.11,65.55,-1.9500000000000002,200.62
10,1715411888060,-0.22,0.63,0.11,65.55,-1.95,200.62
11,1715411888070,-0.20274509803921567,0.5954901960784313,0.0927450980392157,63.84411764705882,-3.78235294117647,205.02
12,1715411888080,-0.18,0.55,0.07,59.75,-8.18,215.58
13,1715411888090,-0.17999999999999997,0.55,0.07,59.75,-8.18,215.58000000000004
14,1715411888100,-0.18,0.55,0.07,59.75,-8.18,215.58
15,1715411888110,0.09203389830508474,0.3595762711864407,0.0790677966101695,76.93237288135593,10.442372881355933,244.97389830508476
16,1715411888120,0.12,0.34,0.08,80.87,14.71,251.71
17,1715411888130,0.12,0.34,0.08,80.87,14.71,251.71
18,1715411888140,0.11521276595744681,0.33808510638297873,0.07186170212765958,80.87,14.71,251.71
19,1715411888150,0.02,0.3,-0.09,71.66864406779662,19.063898305084745,272.52762711864403
20,1715411888160,0.02,0.3,-0.09,70.43,19.65,275.33
21,1715411888170,0.02,0.3,-0.09,70.43,19.65,275.33
22,1715411888180,0.019999999999999997,0.3,-0.09,70.43,19.65,275.33
23,1715411888190,0.4671508379888268,0.0918435754189944,-0.005195530726256982,60.005865921787716,-40.72754189944134,278.4545810055866
24,1715411888200,0.6,0.03,0.02,54.75,-71.17,280.03
25,1715411888210,0.6,0.03,0.02,54.75,-71.17,280.03
26,1715411888220,0.5800000000000001,0.022727272727272728,0.0048484848484848485,54.75,-71.17,280.03
27,1715411888230,0.27,-0.09,-0.23,54.037559055118116,40.17629921259843,292.61417322834643
28,1715411888240,0.27,-0.09,-0.23000000000000004,53.71,91.37,298.4
29,1715411888250,0.27,-0.09,-0.23000000000000004,53.71000000000001,91.37,298.4
30,1715411888260,0.56390625,-0.18796875,-0.17953125,53.71,91.37,298.4
31,1715411888270,1.26,-0.42,-0.05999999999999999,24.3475,-199.3060135135135,263.00236486486483
32,1715411888280,1.26,-0.42,-0.06,23.74,-205.32,262.27
33,1715411888290,1.26,-0.42,-0.06,23.74,-205.32,262.27
34,1715411888300,0.9113924050632911,-0.43936708860759494,-0.2020253164556962,57.734177215189874,0.32244725738396895,261.57008438818565
35,1715411888310,0.72,-0.45,-0.28,80.08,135.5,261.11
36,1715411888320,0.72,-0.45000000000000007,-0.28,80.08,135.5,261.11
37,1715411888330,0.72,-0.45,-0.28,80.08,135.5,261.11
38,1715411888340,1.3009876543209875,-0.7106995884773664,-0.17572016460905351,60.001316872427985,-31.598353909465015,254.86901234567904
39,1715411888350,1.5,-0.8,-0.14,45.72,-150.45,250.43
40,1715411888360,1.5,-0.8,-0.14,45.72,-150.45,250.43
41,1715411888370,1.5,-0.8,-0.14,45.72,-150.45,250.43
42,1715411888380,1.1292592592592594,-0.8337037037037036,-0.3085185185185185,56.9925,144.57560185185184,252.27009259259262
43,1715411888390,1.06,-0.84,-0.34,60.3,231.14,252.81
44,1715411888400,1.06,-0.84,-0.34,60.3,231.14,252.81
45,1715411888410,1.06,-0.84,-0.34,60.3,231.14,252.81
46,1715411888420,1.06,-1.0117842323651451,-0.17775933609958508,44.99128630705394,-34.796307053941916,279.3251452282158
47,1715411888430,1.06,-1.02,-0.17,41.38,-97.53,285.58
48,1715411888440,1.06,-1.02,-0.17,41.38,-97.53,285.58
49,1715411888450,1.06,-1.02,-0.17,41.38,-97.53,285.58
50,1715411888460,1.3769811320754715,-1.1739622641509433,-0.1428301886792453,54.870000000000005,93.59396226415095,286.93301886792455
51,1715411888470,1.41,-1.19,-0.14,61.52,187.81,287.6
52,1715411888480,1.4100000000000001,-1.19,-0.14,61.52,187.81000000000003,287.6
53,1715411888490,1.3774999999999997,-1.18875,-0.148125,61.52,187.81000000000003,287.6
54,1715411888500,0.89,-1.17,-0.27,32.22888888888889,52.45203703703704,289.0337037037037
55,1715411888510,0.8900000000000001,-1.17,-0.27,29.24,38.64,289.18
56,1715411888520,0.89,-1.17,-0.27,29.24,38.64000000000001,289.18
57,1715411888530,0.8956976744186047,-1.1716279069767441,-0.2651162790697674,29.24,38.64,289.18
58,1715411888540,1.3800000000000001,-1.31,0.15,11.959999999999999,93.98999999999998,234.56
59,1715411888550,1.3800000000000001,-1.31,0.15,11.959999999999999,93.99,234.56000000000003
60,1715411888560,1.38,-1.31,0.15,11.959999999999999,93.99,234.56
61,1715411888570,1.3799999999999997,-1.31,0.15,11.960000000000003,93.99000000000001,234.55999999999997
62,1715411888580,1.1804790419161677,-1.1461077844311378,0.08586826347305389,27.660359281437124,125.0868862275449,219.3330538922156
63,1715411888590,1.1,-1.08,0.06,34.18,138.0,213.01
64,1715411888600,1.08046511627907,-1.0809302325581396,0.07302325581395348,34.18,138.0,213.01
65,1715411888610,0.89,-1.09,0.2,10.014513274336283,186.68867256637168,192.29672566371684
66,1715411888620,0.89,-1.09,0.2,5.13,196.53,188.11
67,1715411888630,0.89,-1.09,0.2,5.13,196.53,188.11
68,1715411888640,0.8857976653696499,-1.1040077821011673,0.2168093385214008,5.13,196.53,188.11
69,1715411888650,0.86,-1.19,0.32,-19.96,-60.3,134.95
70,1715411888660,0.86,-1.19,0.32,-19.96,-60.3,134.95
71,1715411888670,0.86,-1.19,0.32,-19.96,-60.29999999999999,134.95
72,1715411888680,0.9247580645161291,-1.1605645161290323,0.29939516129032256,-11.726814516129032,-59.58870967741935,115.55209677419354
73,1715411888690,1.08,-1.09,0.25,12.45,-57.5,58.59
74,1715411888700,1.08,-1.09,0.25,12.45,-57.5,58.59
75,1715411888710,1.08,-1.09,0.25,12.45,-57.5,58.59
76,1715411888720,1.08,-1.09,0.25,12.45,-57.5,58.59
77,1715411888730,1.1091891891891894,-1.0510810810810811,0.20135135135135138,16.044054054054055,20.382393822393823,14.821660231660232
78,1715411888740,1.11,-1.05,0.2,16.72,35.03,6.59
79,1715411888750,1.11,-1.05,0.2,16.72,35.03,6.59
80,1715411888760,1.0964615384615386,-1.0469230769230768,0.19076923076923077,16.72,35.03,6.59
81,1715411888770,0.8899999999999999,-1.0,0.05,2.586637931034483,45.316637931034485,-43.05379310344827
82,1715411888780,0.89,-1.0,0.05,1.9499999999999997,45.78,-45.29
83,1715411888790,0.89,-1.0,0.05,1.95,45.78,-45.29
84,1715411888800,0.9143243243243243,-1.0527027027027027,0.11486486486486487,0.5157657657657657,39.12774774774775,-50.90297297297297
85,1715411888810,0.95,-1.13,0.21,-8.0,-0.37,-84.23
86,1715411888820,0.95,-1.13,0.21,-8.0,-0.37,-84.23
87,1715411888830,0.95,-1.13,0.21,-8.0,-0.37,-84.23
88,1715411888840,0.9445971563981043,-1.1354028436018955,0.18028436018957344,-3.677725118483412,2.663696682464455,-98.77175355450237
89,1715411888850,0.93,-1.15,0.1,8.0,10.86,-138.06
90,1715411888860,0.93,-1.15,0.1,8.0,10.86,-138.06
91,1715411888870,0.93,-1.15,0.1,8.0,10.86,-138.06
92,1715411888880,0.9388135593220339,-1.1588135593220337,0.10991525423728814,7.3808474576271195,5.756949152542372,-142.33677966101698
93,1715411888890,1.01,-1.23,0.19,2.38,-35.46,-176.88
94,1715411888900,1.01,-1.23,0.19,2.38,-35.46,-176.88
95,1715411888910,1.01,-1.23,0.19,2.38,-35.46,-176.88
96,1715411888920,1.0281818181818183,-1.33,0.17181818181818184,15.089090909090908,7.485454545454545,-218.44363636363636
97,1715411888930,1.03,-1.34,0.17,16.36,11.78,-222.6
98,1715411888940,1.03,-1.34,0.17,16.36,11.78,-222.6
99,1715411888950,1.0391588785046728,-1.3386915887850468,0.16738317757009347,15.638504672897195,10.901495327102804,-224.34252336448597
100,1715411888960,1.1,-1.33,0.15,0.92,-7.02,-259.89
101,1715411888970,1.1,-1.33,0.15,0.92,-7.02,-259.89
102,1715411888980,1.1,-1.33,0.15,0.92,-7.02,-259.89
103,1715411888990,1.094488188976378,-1.3520472440944882,0.16653543307086613,-1.4056692913385824,1.4514960629921263,-271.51015748031494
104,1715411889000,1.09,-1.37,0.18,-4.76,13.67,-288.27
105,1715411889010,1.09,-1.37,0.18,-4.76,13.67,-288.27
106,1715411889020,1.09,-1.37,0.18,-4.76,13.67,-288.27
107,1715411889030,1.1043362831858408,-1.2983185840707965,0.16566371681415928,5.858672566371682,21.98053097345133,-287.9341592920354
108,1715411889040,1.11,-1.27,0.16,12.63,27.28,-287.72
109,1715411889050,1.11,-1.27,0.16,12.63,27.28,-287.72
110,1715411889060,1.11,-1.27,0.16,12.63,27.28,-287.72
111,1715411889070,1.0458333333333334,-1.0866666666666667,0.12333333333333334,19.223333333333333,-24.433333333333334,-301.76
112,1715411889080,1.04,-1.07,0.12,22.52,-50.29,-308.78
113,1715411889090,1.04,-1.07,0.12000000000000001,22.52,-50.29,-308.78
114,1715411889100,1.04,-1.07,0.12,22.52,-50.29,-308.78
115,1715411889110,1.0868,-0.9712000000000001,0.1616,25.784299999999998,-28.982950000000002,-312.01595
116,1715411889120,1.13,-0.88,0.2,30.58,2.32,-316.77
117,1715411889130,1.13,-0.88,0.2,30.58,2.32,-316.77
118,1715411889140,1.13,-0.88,0.2,30.58,2.32,-316.77
119,1715411889150,1.0540329218106996,-0.751440329218107,0.08897119341563786,26.839588477366252,-20.387818930041153,-314.9941975308642
120,1715411889160,1.0,-0.66,0.01,23.25,-42.18,-313.29
121,1715411889170,1.0,-0.66,0.01,23.25,-42.18,-313.29
122,1715411889180,1.0,-0.66,0.01,23.25,-42.18,-313.29
123,1715411889190,0.9449180327868852,-0.5681967213114755,0.0880327868852459,24.654590163934426,-39.880327868852454,-327.9739344262295
124,1715411889200,0.88,-0.46,0.18,26.31,-37.17,-345.28
125,1715411889210,0.88,-0.46,0.18,26.31,-37.17,-345.28
126,1715411889220,0.88,-0.46,0.18,26.31,-37.17,-345.28
127,1715411889230,0.6193822393822394,-0.26019305019305017,-0.0024324324324324323,32.965868725868724,13.445559845559846,-322.35513513513513
128,1715411889240,0.58,-0.23,-0.03,34.48,24.96,-317.14
129,1715411889250,0.58,-0.23,-0.03,34.48,24.959999999999997,-317.14
130,1715411889260,0.58,-0.23,-0.03,34.48,24.96,-317.14
131,1715411889270,0.35748837209302325,-0.026837209302325582,-0.04934883720930233,10.685953488372093,-67.50893023255814,-326.1807441860465
132,1715411889280,0.35,-0.02,-0.05,5.740000000000001,-86.73,-328.06
133,1715411889290,0.35,-0.02,-0.05,5.74,-86.73,-328.06
134,1715411889300,0.34551724137931034,0.015862068965517243,-0.020862068965517244,4.2925862068965515,-86.29896551724138,-324.31431034482756
135,1715411889310,0.33,0.14,0.08,-11.05,-81.73,-284.61
136,1715411889320,0.33,0.14,0.08,-11.05,-81.73,-284.61
137,1715411889330,0.33,0.14,0.08,-11.050000000000002,-81.73,-284.61
138,1715411889340,0.23805970149253733,0.17761194029850746,0.04656716417910448,-13.363432835820896,-81.91208955223881,-284.899552238806
139,1715411889350,0.11,0.23,0.0,-18.8,-82.34,-285.58
140,1715411889360,0.11,0.23,0.0,-18.8,-82.34,-285.58
141,1715411889370,0.11,0.23,0.0,-18.8,-82.34,-285.58
142,1715411889380,0.10532786885245901,0.30008196721311475,0.018688524590163937,-33.82950819672131,-94.72688524590164,-279.3177049180328
143,1715411889390,0.1,0.38,0.04,-64.64,-120.12,-266.48
144,1715411889400,0.1,0.38,0.04,-64.64,-120.12,-266.48
145,1715411889410,0.1,0.38,0.04,-64.64,-120.12,-266.48
146,1715411889420,-0.04419642857142857,0.4407142857142857,0.14625,-40.25714285714286,-34.518928571428575,-259.06678571428574
147,1715411889430,-0.09,0.46,0.18,-24.48,20.87,-254.27
148,1715411889440,-0.09,0.46,0.18,-24.48,20.87,-254.27
149,1715411889450,-0.09,0.46,0.18,-24.48,20.87,-254.27
150,1715411889460,-0.458,0.7452000000000001,-0.022400000000000003,-43.9296,43.1356,-202.5132
151,1715411889470,-0.49,0.77,-0.04,-54.87,55.66,-173.4
152,1715411889480,-0.49,0.77,-0.04,-54.87,55.66,-173.4
153,1715411889490,-0.49000000000000005,0.7699999999999999,-0.04,-54.87,55.66,-173.4
154,1715411889500,-0.47456692913385823,0.7931496062992126,0.060314960629921255,-56.96055118110236,43.15212598425197,-155.19921259842522
155,1715411889510,-0.47,0.8,0.09,-58.41,34.48,-142.58
156,1715411889520,-0.47,0.8,0.09,-58.41,34.48,-142.58
157,1715411889530,-0.565632183908046,0.8298850574712644,0.051149425287356325,-55.12172413793104,40.4183908045977,-135.49586206896552
158,1715411889540,-0.79,0.9,-0.04,-40.53,66.77,-104.06
159,1715411889550,-0.79,0.9,-0.04,-40.529999999999994,66.77,-104.05999999999999
160,1715411889560,-0.79,0.9,-0.04,-40.53,66.77,-104.06
161,1715411889570,-0.8371428571428572,0.8828571428571429,-0.03142857142857143,-42.65470588235294,57.55,-101.43294117647059
162,1715411889580,-0.9,0.86,-0.02,-58.59,-11.6,-81.73
163,1715411889590,-0.9,0.86,-0.02,-58.59,-11.6,-81.73
164,1715411889600,-0.9,0.86,-0.02,-58.59,-11.6,-81.73
165,1715411889610,-0.9227027027027027,0.8713513513513513,0.1218918918918919,-53.39,-30.26846846846847,-79.24243243243244
166,1715411889620,-0.94,0.88,0.23,-47.49,-51.45,-76.42
167,1715411889630,-0.94,0.88,0.23,-47.49,-51.45,-76.42
168,1715411889640,-0.94,0.88,0.23,-47.49,-51.45,-76.42
169,1715411889650,-0.8862903225806452,0.8352419354838709,0.34637096774193543,-35.36096774193548,-10.417741935483873,-19.239354838709676
170,1715411889660,-0.88,0.83,0.36,-28.69,12.15,12.21
171,1715411889670,-0.88,0.83,0.36,-28.69,12.15,12.21
172,1715411889680,-0.8772608695652174,0.8287826086956522,0.3572608695652174,-28.690000000000005,12.15,12.21
173,1715411889690,-0.79,0.79,0.27,-0.1784955752212394,39.78725663716814,61.28601769911504
174,1715411889700,-0.79,0.79,0.27,7.51,47.24,74.52
175,1715411889710,-0.79,0.79,0.27,7.51,47.24000000000001,74.52
176,1715411889720,-0.7753672316384181,0.7774576271186442,0.25536723163841807,7.51,47.239999999999995,74.52
177,1715411889730,-0.72,0.73,0.2,25.330472440944884,18.118740157480318,108.3184251968504
178,1715411889740,-0.72,0.73,0.2,26.37,16.42,110.29
179,1715411889750,-0.72,0.73,0.2,26.37,16.42,110.29
180,1715411889760,-0.6494117647058824,0.7158823529411764,0.19647058823529415,31.016218487394955,10.60403361344538,119.87739495798319
181,1715411889770,-0.52,0.69,0.19,44.8,-6.65,148.32
182,1715411889780,-0.52,0.69,0.19,44.8,-6.65,148.32
183,1715411889790,-0.4655392156862745,0.6701960784313725,0.17019607843137255,46.32696078431372,-6.186764705882354,152.61166666666665
184,1715411889800,-0.41,0.65,0.15,51.03,-4.76,165.83
185,1715411889810,-0.41,0.65,0.15,51.03,-4.76,165.83
186,1715411889820,-0.41,0.6500000000000001,0.14999999999999997,51.03,-4.760000000000001,165.83
187,1715411889830,-0.40404580152671754,0.6481679389312976,0.14908396946564884,51.03,-4.76,165.83
188,1715411889840,-0.28,0.61,0.13,43.19,8.8816,191.9666
189,1715411889850,-0.28,0.61,0.13,43.03,9.16,192.5
190,1715411889860,-0.28,0.61,0.13,43.03,9.16,192.5
191,1715411889870,-0.26093220338983053,0.5888135593220339,0.12576271186440677,43.47491525423729,12.439915254237288,198.83381355932204
192,1715411889880,-0.19,0.51,0.11,45.53,27.59,228.09
193,1715411889890,-0.19,0.51,0.11,45.53,27.59,228.09
194,1715411889900,-0.14295081967213116,0.4495081967213114,0.06967213114754098,46.32344262295082,29.00918032786885,229.06918032786888
195,1715411889910,-0.12,0.42,0.05,49.93,35.46,233.52
196,1715411889920,-0.12,0.42000000000000004,0.05,49.93,35.46,233.52
197,1715411889930,-0.12,0.42,0.05,49.93000000000001,35.46,233.52000000000004
198,1715411889940,-0.08034782608695652,0.271304347826087,0.03017391304347826,39.800956521739124,4.496347826086957,261.72521739130434
199,1715411889950,-0.08000000000000002,0.27,0.03,38.51,0.55,265.32
200,1715411889960,-0.08,0.27,0.03,38.51,0.55,265.32
201,1715411889970,-0.026976744186046512,0.21697674418604654,0.01883720930232558,38.65488372093023,1.2469767441860466,265.40372093023257
202,1715411889980,0.11,0.08,-0.01,44.74,30.52,268.92
203,1715411889990,0.11,0.08,-0.01,44.74,30.52,268.92
204,1715411890000,0.11,0.08,-0.01,44.74,30.52,268.92
205,1715411890010,0.10606837606837607,-0.057606837606837616,-0.10435897435897437,33.193162393162396,9.527435897435899,268.14367521367524
206,1715411890020,0.1,-0.27,-0.25,1.16,-48.71,265.99
207,1715411890030,0.1,-0.27,-0.25,1.16,-48.71,265.99
208,1715411890040,0.1,-0.27,-0.25,1.16,-48.71,265.99
209,1715411890050,0.49,-0.44400000000000006,-0.01599999999999999,-5.6626666666666665,-51.857600000000005,289.71453333333335
210,1715411890060,0.75,-0.56,0.14,-10.74,-54.2,307.36999999999995
211,1715411890070,0.75,-0.56,0.14,-10.74,-54.2,307.36999999999995
212,1715411890080,0.75,-0.56,0.14,-10.74,-54.2,307.37
213,1715411890090,1.0328947368421053,-0.8231578947368421,-0.06394736842105263,-1.6957894736842105,7.784561403508771,356.47596491228074
214,1715411890100,1.18,-0.96,-0.17,5.37,56.21,394.84
215,1715411890110,1.18,-0.96,-0.17,5.37,56.21,394.84
216,1715411890120,1.18,-0.96,-0.17,5.37,56.21,394.84
217,1715411890130,1.1391269841269842,-1.2542857142857142,-0.17817460317460318,-48.49666666666666,82.67984126984126,412.08444444444444
218,1715411890140,1.13,-1.32,-0.18,-79.47,97.9,422.0
219,1715411890150,1.13,-1.32,-0.18,-79.47,97.9,422.0
220,1715411890160,1.144512195121951,-1.3273983739837398,-0.17459349593495932,-79.47,97.9,422.0
221,1715411890170,1.64,-1.58,0.01,9.548809523809524,-143.4045238095238,313.37928571428574
222,1715411890180,1.64,-1.58,0.01,11.72,-149.29,310.73
