id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,1715374792270,0.09,-0.27,1.05,7.45,7.87,-6.35
1,1715374792280,0.12,-0.21750000000000003,0.9975,5.07,-2.35,-11.260000000000002
2,1715374792290,0.13,-0.2,0.9799999999999999,2.69,-12.570000000000002,-16.17
3,1715374792300,0.13,-0.2,0.98,2.69,-12.57,-16.17
4,1715374792310,0.13,-0.2,0.9799999999999999,2.69,-12.570000000000002,-16.17
5,1715374792320,0.115,-0.26,1.0175,-2.59,-2.2250000000000005,-14.675
6,1715374792330,0.11,-0.28,1.03,-7.87,8.12,-13.18
7,1715374792340,0.11,-0.28,1.03,-7.87,8.12,-13.179999999999998
8,1715374792350,0.11,-0.28,1.03,-7.87,8.12,-13.18
9,1715374792360,0.11,-0.28,1.03,-7.87,8.12,-13.18
10,1715374792370,0.08,-0.3025,1.06,-16.615000000000002,-8.68,-5.4925
11,1715374792380,0.07,-0.31,1.07,-19.53,-14.28,-2.93
12,1715374792390,0.07,-0.31,1.07,-19.53,-14.28,-2.93
13,1715374792400,0.23,-0.29,1.07,-34.06,-3.11,6.35
14,1715374792410,0.23,-0.29,1.07,-34.06,-3.11,6.35
15,1715374792420,0.23,-0.29,1.07,-34.06,-3.11,6.35
16,1715374792430,0.23,-0.29,1.07,-34.06,-3.11,6.35
17,1715374792440,0.23,-0.29,1.07,-34.06,-3.11,6.35
18,1715374792450,0.23,-0.29,1.07,-34.06,-3.11,6.35
19,1715374792460,0.23,-0.29,1.07,-34.06,-3.11,6.35
20,1715374792470,0.08,-0.3514285714285714,0.8828571428571428,-84.99285714285713,42.857142857142854,22.587142857142858
21,1715374792480,-0.07,-0.33,0.74,-65.55,6.1,31.13
22,1715374792490,-0.07,-0.33,0.74,-65.55,6.1,31.13
23,1715374792500,-0.07,-0.33,0.74,-65.55,6.1,31.13
24,1715374792510,-0.04,-0.195,0.42,-65.82375,-16.763749999999998,31.197499999999998
25,1715374792520,-0.01,-0.06,0.1,-66.28,-54.87,31.31
26,1715374792530,-0.01,-0.06,0.1,-66.28,-54.87,31.31
27,1715374792540,-0.01,-0.06,0.1,-66.28,-54.87,31.31
28,1715374792550,-0.05,-0.09,0.15000000000000002,-74.4,-50.935,34.82
29,1715374792560,-0.09,-0.12,0.2,-82.52,-47.0,38.33
30,1715374792570,-0.09,-0.12,0.2,-82.52,-47.0,38.33
31,1715374792580,-0.09,-0.12,0.2,-82.52,-47.0,38.33
32,1715374792590,-0.21,-0.22285714285714286,0.17428571428571432,-98.58285714285715,-15.088571428571429,94.09571428571428
33,1715374792600,-0.23,-0.24,0.17,-101.26,-9.77,103.39
34,1715374792610,-0.23,-0.24,0.17,-101.26,-9.77,103.39
35,1715374792620,-0.23,-0.24,0.17,-101.26,-9.77,103.39
36,1715374792630,-0.13,-0.23,-0.1,-183.35,-23.62,76.54
37,1715374792640,-0.13,-0.23,-0.1,-183.35,-23.62,76.54
38,1715374792650,-0.13,-0.23,-0.1,-183.35,-23.62,76.54
39,1715374792660,-0.13,-0.23,-0.1,-183.35,-23.62,76.54
40,1715374792670,0.16,-0.82,0.0,-221.19,3.97,101.99
41,1715374792680,0.16,-0.82,0.0,-221.19,3.97,101.99
42,1715374792690,0.16,-0.82,0.0,-221.19,3.97,101.99
43,1715374792700,0.2425,-0.83375,-0.06375,-227.85875,10.07375,93.42999999999999
44,1715374792710,0.82,-0.93,-0.51,-274.54,52.8,33.51
45,1715374792720,0.82,-0.93,-0.51,-274.54,52.8,33.51
46,1715374792730,0.82,-0.93,-0.51,-274.54,52.8,33.51
47,1715374792740,0.92125,-1.32375,-0.315,-274.54,52.8,33.51
48,1715374792750,1.09,-1.98,0.01,-289.49,208.68,-60.0
49,1715374792760,1.09,-1.98,0.01,-289.49,208.68,-60.0
50,1715374792770,1.09,-1.98,0.01,-289.49,208.68,-60.0
51,1715374792780,0.8885714285714287,-2.13,-0.06285714285714286,-251.24857142857144,256.3671428571428,-47.25857142857143
52,1715374792790,0.62,-2.33,-0.16,-200.26,319.95,-30.27
53,1715374792800,0.62,-2.33,-0.16,-200.26,319.95,-30.27
54,1715374792810,0.62,-2.3300000000000005,-0.16,-200.26,319.95,-30.27
55,1715374792820,0.8975,-2.6375,-0.145,-179.01999999999998,306.965,-41.165
56,1715374792830,1.36,-3.15,-0.12,-115.3,268.01,-73.85
57,1715374792840,1.36,-3.15,-0.12,-115.3,268.01,-73.85
58,1715374792850,1.36,-3.15,-0.12,-115.3,268.01,-73.85
59,1715374792860,1.525,-3.295,-0.095,-70.865,274.325,-91.55
60,1715374792870,1.69,-3.44,-0.07,-26.43,280.64,-109.25
61,1715374792880,1.69,-3.44,-0.07,-26.43,280.64,-109.25
62,1715374792890,1.69,-3.44,-0.07,-26.43,280.64,-109.25
63,1715374792900,1.62125,-3.87125,-0.08875000000000001,5.345000000000001,268.43375000000003,-184.81875
64,1715374792910,1.58,-4.13,-0.1,24.41,261.11,-230.16
65,1715374792920,1.58,-4.13,-0.1,24.41,261.11,-230.16
66,1715374792930,1.58,-4.13,-0.1,24.41,261.11,-230.16
67,1715374792940,0.7837500000000001,-4.2437499999999995,0.46875000000000006,45.558749999999996,247.81,-326.02500000000003
