id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,1715373847840,-0.25,-0.35,0.97,13.67,-14.04,-20.32
1,1715373847850,-0.2357142857142857,-0.32857142857142857,0.9771428571428571,13.015714285714285,-13.83,-19.457142857142856
2,1715373847860,-0.15,-0.2,1.02,9.09,-12.570000000000002,-14.28
3,1715373847870,-0.15,-0.2,1.02,9.09,-12.57,-14.28
4,1715373847880,-0.15,-0.2,1.02,9.09,-12.570000000000002,-14.28
5,1715373847890,-0.1575,-0.225,1.075,11.2875,-9.0625,-17.56
6,1715373847900,-0.18,-0.3,1.24,17.88,1.46,-27.4
7,1715373847910,-0.18,-0.3,1.24,17.88,1.4599999999999997,-27.4
8,1715373847920,-0.18,-0.3,1.24,17.88,1.46,-27.4
9,1715373847930,-0.18,-0.3825,1.23625,36.3525,13.501249999999999,-19.07125
10,1715373847940,-0.18,-0.52,1.23,67.14,33.57,-5.19
11,1715373847950,-0.18,-0.52,1.23,67.14,33.57,-5.19
12,1715373847960,-0.14625,-0.3925,1.425,63.08125,42.79375,-1.2687500000000003
13,1715373847970,-0.09,-0.18,1.75,34.67,107.36,26.18
14,1715373847980,-0.09,-0.18,1.75,34.67,107.36,26.18
15,1715373847990,-0.09,-0.18,1.75,34.67,107.36,26.18
16,1715373848000,-0.3375,-0.2625,1.46125,48.510000000000005,166.10750000000002,28.775
17,1715373848010,-0.75,-0.4,0.9799999999999999,90.03,342.35,36.56
18,1715373848020,-0.75,-0.4,0.98,90.03,342.35,36.56
19,1715373848030,-0.75,-0.4,0.9799999999999999,90.03,342.35,36.56
20,1715373848040,-0.73,-0.345,1.35,115.8475,300.02000000000004,55.405
21,1715373848050,-0.71,-0.29,1.72,193.3,173.03,111.93999999999998
22,1715373848060,-0.71,-0.29,1.72,193.3,173.03,111.93999999999998
23,1715373848070,-0.71,-0.29,1.72,193.3,173.03,111.94
24,1715373848080,-0.7671428571428571,-0.4542857142857143,1.6557142857142857,143.95,304.13,150.26142857142855
25,1715373848090,-0.79,-0.52,1.63,124.21,356.57,165.59
26,1715373848100,-0.79,-0.52,1.6300000000000001,124.21,356.57,165.59
27,1715373848110,-0.79,-0.52,1.63,124.21,356.57,165.59
28,1715373848120,-1.3042857142857145,0.029999999999999995,0.8514285714285714,93.95285714285714,305.7342857142857,248.94714285714286
29,1715373848130,-1.51,0.25,0.54,81.85,285.4,282.29
30,1715373848140,-1.51,0.25,0.54,81.85,285.4,282.29
31,1715373848150,-1.51,0.25,0.54,81.85,285.4,282.29
32,1715373848160,-1.11,0.17,0.94,108.87,202.24875,296.38624999999996
33,1715373848170,-1.11,0.17,0.9400000000000001,112.73,190.37000000000003,298.4
34,1715373848180,-1.11,0.17,0.9400000000000001,112.73,190.37000000000003,298.4
35,1715373848190,-1.112857142857143,0.14857142857142858,0.8728571428571428,104.91714285714286,203.8242857142857,298.27
36,1715373848200,-1.13,0.02,0.47000000000000003,58.04,284.55,297.49000000000007
37,1715373848210,-1.13,0.02,0.4699999999999999,58.04,284.55,297.49
38,1715373848220,-1.13,0.02,0.47,58.04,284.55,297.49
39,1715373848230,-0.9814285714285713,0.13142857142857142,0.3671428571428571,58.04,284.55,297.49000000000007
40,1715373848240,-0.61,0.41,0.11,54.32,161.38,370.18
41,1715373848250,-0.61,0.41,0.11,54.32,161.37999999999997,370.18
42,1715373848260,-0.61,0.41,0.11,54.32,161.38,370.18
43,1715373848270,-0.49000000000000005,0.41428571428571426,0.14857142857142858,57.667142857142856,143.14857142857142,351.29285714285714
44,1715373848280,-0.33,0.42,0.2,62.13,118.84,326.11
45,1715373848290,-0.33,0.42,0.2,62.13,118.84,326.11
46,1715373848300,-0.33,0.42,0.2,62.13,118.84,326.11
47,1715373848310,-0.2425,0.3075,0.006250000000000004,47.06125,123.41499999999999,315.24125000000004
48,1715373848320,-0.19,0.24,-0.11,38.02,126.16,308.71999999999997
49,1715373848330,-0.19,0.24,-0.11,38.02,126.16,308.72
50,1715373848340,-0.19,0.24,-0.11,38.02,126.16,308.72
51,1715373848350,0.1442857142857143,0.5571428571428572,0.009999999999999998,26.82,99.96000000000001,300.9128571428572
52,1715373848360,0.2,0.61,0.03,22.34,89.48,297.79
53,1715373848370,0.2,0.61,0.03,22.34,89.48,297.79
54,1715373848380,0.2,0.61,0.03,22.34,89.48,297.79
55,1715373848390,0.08,0.3357142857142857,-0.07285714285714286,9.677142857142856,105.45142857142858,290.25857142857143
56,1715373848400,0.06,0.29,-0.09,0.18,117.43,284.61
57,1715373848410,0.06,0.29,-0.09,0.18,117.42999999999999,284.61
58,1715373848420,0.06,0.29,-0.09,0.18,117.42999999999999,284.61
59,1715373848430,0.41,0.52,0.13,-37.660000000000004,71.84,284.85
60,1715373848440,0.41,0.52,0.13,-37.66,71.84,284.85
61,1715373848450,0.41,0.52,0.13,-37.66,71.84,284.85
62,1715373848460,0.4442857142857143,0.5142857142857143,0.16142857142857142,-26.428571428571423,78.2057142857143,274.4042857142857
63,1715373848470,0.53,0.5,0.24,1.65,94.12,248.29
64,1715373848480,0.53,0.5,0.24,1.65,94.12,248.29
65,1715373848490,0.53,0.5,0.24,1.65,94.12,248.29
66,1715373848500,0.625,0.375,0.08499999999999999,5.0225,97.55250000000001,242.73499999999999
67,1715373848510,0.72,0.25,-0.07,15.14,107.85,226.07
68,1715373848520,0.72,0.25,-0.07,15.14,107.85,226.07
69,1715373848530,0.72,0.25,-0.07,15.14,107.85,226.07
70,1715373848540,0.9771428571428571,0.3071428571428571,0.037142857142857144,-0.5099999999999996,86.22857142857143,196.77714285714288
71,1715373848550,1.08,0.33,0.08,-6.77,77.58,185.06
72,1715373848560,1.08,0.33,0.08,-6.7700000000000005,77.58,185.06
73,1715373848570,1.08,0.33,0.08,-6.7700000000000005,77.58,185.06
74,1715373848580,0.9585714285714285,0.22285714285714286,0.18,-10.348571428571429,74.74428571428572,165.83142857142857
75,1715373848590,0.91,0.18,0.22,-11.78,73.61,158.14
76,1715373848600,0.91,0.18,0.22,-11.78,73.61,158.14000000000001
77,1715373848610,0.91,0.18,0.22,-11.78,73.61,158.14000000000001
78,1715373848620,1.06,0.2925,0.1975,-15.35,67.1525,145.9675
79,1715373848630,1.11,0.33,0.19,-16.54,65.0,141.91
80,1715373848640,1.11,0.33,0.19,-16.54,65.0,141.91
81,1715373848650,1.11,0.33,0.19,-16.54,65.0,141.91
82,1715373848660,1.03,0.26,0.23,-22.71,41.5,100.83
83,1715373848670,1.03,0.26,0.23,-22.71,41.5,100.83
84,1715373848680,1.03,0.26,0.23,-22.71,41.5,100.83
85,1715373848690,1.03,0.26,0.23,-22.71,41.5,100.83
86,1715373848700,1.05,0.26,0.31,-22.77,41.93,100.77
87,1715373848710,1.05,0.26,0.31,-22.77,41.93,100.77
88,1715373848720,1.05,0.26,0.31,-22.77,41.93,100.77
89,1715373848730,1.1557142857142857,0.19714285714285715,0.3385714285714286,-16.038571428571426,35.96714285714285,84.76142857142857
90,1715373848740,1.42,0.04,0.41,0.79,21.06,44.74
91,1715373848750,1.42,0.04,0.41,0.79,21.06,44.74
92,1715373848760,1.42,0.04,0.41,0.79,21.06,44.74
93,1715373848770,1.52875,-0.019999999999999997,0.42125,1.5475,14.69625,25.10125
94,1715373848780,1.7099999999999997,-0.12,0.44,2.81,4.09,-7.63
95,1715373848790,1.71,-0.12,0.44,2.81,4.09,-7.63
96,1715373848800,1.7099999999999997,-0.12,0.44,2.81,4.09,-7.63
97,1715373848810,1.7349999999999999,-0.075,0.495,26.765,-2.135,-65.095
