id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,1715374024560,0.36000000000000004,1.06,0.22,11.29,-7.39,9.46
1,1715374024570,0.32499999999999996,1.025,0.08,2.9299999999999997,3.78,6.040000000000001
2,1715374024580,0.29,0.99,-0.06,-5.43,14.95,2.62
3,1715374024590,0.29,0.99,-0.06,-5.43,14.95,2.62
4,1715374024600,0.29,0.99,-0.06,-5.43,14.95,2.62
5,1715374024610,0.3071428571428571,1.092857142857143,-0.33428571428571424,-27.61285714285714,12.129999999999999,14.44857142857143
6,1715374024620,0.31,1.11,-0.38,-31.31,11.66,16.42
7,1715374024630,0.31,1.11,-0.38,-31.31,11.66,16.42
8,1715374024640,0.31,1.11,-0.38,-31.31,11.66,16.42
9,1715374024650,0.31,1.02,-0.71,-28.695714285714285,107.91714285714285,18.162857142857142
10,1715374024660,0.31,1.02,-0.71,-27.65,146.42,18.86
11,1715374024670,0.31,1.02,-0.71,-27.65,146.42,18.86
12,1715374024680,0.31,1.02,-0.71,-27.65,146.42,18.86
13,1715374024690,0.24,0.82,-0.5,-15.38,-52.86,20.69
14,1715374024700,0.24,0.82,-0.5,-15.38,-52.86,20.69
15,1715374024710,0.24,0.82,-0.5,-15.38,-52.86,20.69
16,1715374024720,0.2757142857142857,0.8242857142857142,-0.3742857142857143,-4.315714285714287,-49.354285714285716,31.005714285714287
17,1715374024730,0.49,0.85,0.38,62.07,-28.32,92.9
18,1715374024740,0.48999999999999994,0.85,0.38,62.07,-28.32,92.9
19,1715374024750,0.48999999999999994,0.85,0.38,62.07,-28.32,92.9
20,1715374024760,0.4775,0.885,0.30375,52.68625,-14.9225,88.75625000000001
21,1715374024770,0.39,1.13,-0.23,-13.0,78.86,59.75
22,1715374024780,0.39,1.13,-0.23,-13.0,78.86,59.75
23,1715374024790,0.39,1.13,-0.23,-13.0,78.86,59.75
24,1715374024800,0.3125,1.105,-0.36,-47.9575,41.125,51.0375
25,1715374024810,0.08,1.03,-0.75,-152.83,-72.08,24.9
26,1715374024820,0.08,1.03,-0.75,-152.83,-72.08,24.9
27,1715374024830,0.08,1.03,-0.75,-152.83,-72.08,24.9
28,1715374024840,0.48,1.09875,-0.13125,-50.4425,-189.64875,55.0375
29,1715374024850,0.72,1.14,0.24,10.99,-260.19,73.12
30,1715374024860,0.72,1.14,0.24,10.99,-260.19,73.12
31,1715374024870,0.72,1.14,0.24,10.99,-260.19,73.12
32,1715374024880,0.6975,1.0274999999999999,0.2475,-53.02250000000001,-110.4275,47.60125
33,1715374024890,0.69,0.99,0.25,-91.43,-20.57,32.29
34,1715374024900,0.6900000000000001,0.99,0.25,-91.42999999999999,-20.57,32.29
35,1715374024910,0.69,0.99,0.25,-91.43,-20.57,32.29
36,1715374024920,0.6675,0.81,-0.02,-36.087500000000006,-131.71249999999998,55.8625
37,1715374024930,0.66,0.75,-0.11,-17.64,-168.76,63.71999999999999
38,1715374024940,0.66,0.75,-0.11,-17.64,-168.76,63.72
39,1715374024950,0.66,0.75,-0.11,-17.64,-168.76,63.72
40,1715374024960,0.7299999999999999,0.65,0.21,-69.4,-73.55,48.95
41,1715374024970,0.73,0.65,0.21,-69.4,-73.55,48.95
42,1715374024980,0.73,0.65,0.21,-69.4,-73.55,48.95
43,1715374024990,0.7275,0.605,0.20249999999999999,-69.4,-73.55,48.95
44,1715374025000,0.71,0.29,0.15,-59.722857142857144,-84.37571428571428,65.06428571428572
45,1715374025010,0.71,0.29,0.15,-58.11,-86.18,67.75
46,1715374025020,0.71,0.29,0.15,-58.11,-86.18,67.75
47,1715374025030,0.7299999999999999,0.2414285714285714,0.19999999999999998,-58.11,-86.17999999999999,67.75
48,1715374025040,0.85,-0.05,0.5,-87.59,-79.83,103.15
49,1715374025050,0.85,-0.05,0.5,-87.59,-79.83,103.15
50,1715374025060,0.85,-0.05,0.5,-87.59,-79.83,103.15
51,1715374025070,0.9075,-0.0775,0.515,-87.2225,-73.69749999999999,113.32750000000001
52,1715374025080,1.08,-0.16,0.56,-86.12,-55.3,143.86
53,1715374025090,1.08,-0.16,0.56,-86.12,-55.3,143.86
54,1715374025100,1.08,-0.16,0.56,-86.12,-55.3,143.86
55,1715374025110,1.23,-0.04,0.70625,-89.94250000000001,-54.238749999999996,144.60000000000002
56,1715374025120,1.48,0.16,0.95,-116.7,-46.81,149.78
57,1715374025130,1.48,0.16,0.95,-116.7,-46.81,149.78
58,1715374025140,1.48,0.16,0.95,-116.7,-46.81,149.78
59,1715374025150,1.355,0.46625,0.9562499999999999,-108.80250000000001,-25.87,108.33125
60,1715374025160,1.28,0.65,0.96,-95.64,9.03,39.25
61,1715374025170,1.28,0.65,0.96,-95.64,9.03,39.25
62,1715374025180,1.28,0.65,0.96,-95.64,9.03,39.25
63,1715374025190,1.09625,0.60625,1.0125,-45.652499999999996,29.8125,0.8424999999999994
64,1715374025200,1.07,0.6,1.02,-28.99,36.74,-11.96
65,1715374025210,1.07,0.6,1.02,-28.99,36.74,-11.959999999999999
66,1715374025220,1.07,0.6,1.02,-28.99,36.74,-11.96
67,1715374025230,1.0614285714285716,0.44571428571428573,0.5914285714285715,13.244285714285715,26.345714285714287,-17.44
68,1715374025240,1.06,0.42,0.52,44.92,18.55,-21.55
69,1715374025250,1.06,0.42,0.52,44.92,18.55,-21.55
