id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,1715374732710,0.55,0.05000000000000001,0.82,8.97,-52.43,5.739999999999999
1,1715374732720,0.5725,0.065,0.8049999999999999,12.221250000000001,-54.44375,12.4
2,1715374732730,0.61,0.09,0.78,17.64,-57.8,23.5
3,1715374732740,0.61,0.09,0.78,17.64,-57.8,23.5
4,1715374732750,0.61,0.09,0.78,17.64,-57.8,23.5
5,1715374732760,0.6557142857142857,0.11285714285714286,0.78,-7.714285714285714,-41.86285714285714,17.014285714285712
6,1715374732770,0.69,0.13,0.78,-26.73,-29.91,12.15
7,1715374732780,0.69,0.13,0.78,-26.73,-29.91,12.15
8,1715374732790,0.6900000000000001,0.13,0.78,-26.73,-29.91,12.15
9,1715374732800,0.6775,0.055,0.73,-39.75375,-27.986250000000002,7.20375
10,1715374732810,0.67,0.01,0.7,-61.46,-24.78,-1.04
11,1715374732820,0.67,0.01,0.7,-61.46,-24.78,-1.04
12,1715374732830,0.67,0.01,0.7,-61.46,-24.78,-1.04
13,1715374732840,0.6475,-0.042499999999999996,0.505,-93.8475,-21.9175,-2.565
14,1715374732850,0.64,-0.06,0.44,-113.28,-20.2,-3.48
15,1715374732860,0.64,-0.06,0.44,-113.28,-20.2,-3.48
16,1715374732870,0.64,-0.06,0.44,-113.28,-20.2,-3.48
17,1715374732880,0.48250000000000004,-0.26125,0.16875,-112.73,-17.455,6.285
18,1715374732890,0.46,-0.29,0.13,-112.17999999999999,-14.709999999999999,16.05
19,1715374732900,0.46,-0.29,0.13,-112.18,-14.71,16.05
20,1715374732910,0.46,-0.29,0.13,-112.18,-14.71,16.05
21,1715374732920,0.41,-0.51,-0.16,-128.78,-54.5,44.37
22,1715374732930,0.41,-0.51,-0.16,-128.78,-54.5,44.37
23,1715374732940,0.41,-0.51,-0.16,-128.78,-54.5,44.37
24,1715374732950,0.41,-0.51,-0.16,-128.78,-54.5,44.37
25,1715374732960,0.69,-0.68,-0.14,-191.83,-96.25,58.84
26,1715374732970,0.69,-0.68,-0.14,-191.83,-96.25,58.84
27,1715374732980,0.69,-0.68,-0.14,-191.83,-96.25,58.84
28,1715374732990,0.7057142857142856,-0.7271428571428571,-0.09285714285714287,-191.83,-96.25,58.839999999999996
