id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,1715699408.1682842,0.85270643,0.5205963,-0.091330275,0.1552375,-0.00605,0.0793375
1,1715699408.173112,0.8668654,0.51100916,-0.10111621,0.088,0.0823625,0.0741125
2,1715699408.1920617,0.8615749,0.50489295,-0.076452605,0.07535,0.09405,0.075075
3,1715699408.2007337,0.86126906,0.49541283,-0.06808869,0.0891,0.0749375,0.0719125
4,1715699408.2096927,0.86299694,0.4943884,-0.06441896,0.1093125,0.054725,0.06985
5,1715699408.2244904,0.8859327,0.4890979,-0.078394495,0.165825,-0.00385,0.0581625
6,1715699408.2411046,0.8591284,0.475841,-0.0903211,0.17545,-0.0336875,0.0400125
7,1715699408.2577534,0.83934253,0.47267583,-0.09816514,0.17655,-0.0677875,0.044275
8,1715699408.265859,0.82048935,0.47003058,-0.13577981,0.1370875,-0.0529375,0.0878625
9,1715699408.273761,0.81977063,0.4593272,-0.16961774,0.048675,0.0004125,0.13475
10,1715699408.2911916,0.83761466,0.4504587,-0.15331803,-0.0803,0.0738375,0.176275
11,1715699408.306851,0.85321105,0.43414372,-0.09469419,-0.1579875,0.1016125,0.1881
12,1715699408.3352156,0.8586086,0.41804284,-0.06808869,-0.153725,0.078099996,0.16995
13,1715699408.3567624,0.76830274,0.3819572,-0.07472477,-0.0419375,-0.0763125,0.1475375
14,1715699408.3723638,0.76605505,0.39143732,-0.105504595,-0.0482625,-0.097625,0.2008875
15,1715699408.3880541,0.8027523,0.38776758,-0.13619266,-0.1431375,-0.0242,0.2893
16,1715699408.4033625,0.81957185,0.3853211,-0.14056575,-0.2017125,-0.0006875,0.3254625
17,1715699408.4195096,0.8766514,0.38073394,-0.12568808,-0.2943875,-0.013475,0.362725
18,1715699408.4391081,0.86055046,0.37951073,-0.14698777,-0.3168,-0.0444125,0.3595625
19,1715699408.4599268,0.8386392,0.35749236,-0.16116208,-0.409475,-0.0369875,0.366025
20,1715699408.4755456,0.8386392,0.35749236,-0.16116208,-0.43821248,-0.0763125,0.364925
21,1715699408.4923477,0.76778287,0.34576452,-0.11865443,-0.4467375,-0.183975,0.37235
22,1715699408.5781834,1.0982722,0.8617737,-0.037110094,-1.07525,-0.0369875,-0.06765
23,1715699408.5938022,1.0982722,0.8617737,-0.037110094,-1.1551375,0.0056375,-0.13255
24,1715699408.6196275,1.3510704,1.3157034,0.37573397,-1.2020249,0.2921875,-1.0060875
25,1715699408.6360133,1.2647249,1.3796178,0.4457645,-1.023,0.4456375,-1.206425
26,1715699408.65395,1.2430122,1.62763,0.52946484,-0.2805,0.7651875,-1.7890124
27,1715699408.6695855,1.3086698,1.7090673,0.4687003,0.0710875,0.78113747,-2.0788624
28,1715699408.685086,1.4420948,1.8455658,0.36738533,0.6942375,0.541475,-2.80005
29,1715699408.715893,1.5849082,1.8613608,0.12212538,1.111825,0.3125375,-3.8982625
30,1715699408.7238753,1.7579969,1.6957186,-0.15229358,0.78375,0.7429125,-4.5810876
31,1715699408.740062,1.792156,1.5784863,-0.17603976,0.5652625,0.9868375,-4.881525
32,1715699408.770009,1.4377217,0.92711014,0.14995413,0.370425,1.3255,-6.03735
33,1715699408.8104682,0.84811926,0.5479052,0.16707952,1.2566125,0.8152375,-6.249375
34,1715699408.8398352,0.26819572,0.575948,0.056467887,1.48885,0.5863,-5.909475
35,1715699408.855454,-0.17879206,0.64526,-0.013455657,1.5081,0.3507625,-5.2991123
36,1715699408.955546,0.15301223,-0.8091743,-0.4253823,-0.36685,-0.318175,0.4224
37,1715699408.9769263,0.32090214,-1.1211009,-0.35779816,-1.14015,0.291225,1.478125
38,1715699408.9977682,0.80662084,-1.2551528,-0.016620796,-1.31065,-0.37675,2.0873876
39,1715699409.0179946,1.0555505,-1.2990825,0.30784404,-0.83655,-1.5868875,2.1300125
40,1715699409.0388546,0.81417435,-1.2922477,0.38501528,0.115775,-1.7765,2.5081375
41,1715699409.0595386,0.5776758,-1.1748166,0.4274159,0.115775,-1.7765,2.5081375
42,1715699409.0801368,0.93863916,-0.91876143,0.08940367,1.0575125,-0.3799125,4.462975
43,1715699409.1010432,1.3769572,-0.73353213,-0.16747706,1.0201125,-0.368225,4.5076623
44,1715699409.1215377,1.5939908,-0.6307798,-0.27900612,0.906125,-0.386375,4.310625
45,1715699409.142122,0.71365446,-0.40672785,-0.019266056,0.73149997,-0.0944625,3.1590624
46,1715699409.1630833,0.19399083,-0.5119266,-0.15769114,1.1704,-0.1018875,3.752375
47,1715699409.1835303,0.6006116,-0.51732415,-0.746896,0.519475,-0.8551125,5.441975
48,1715699409.1995792,1.1824619,-0.311315,-1.0746177,0.519475,-0.8551125,5.441975
49,1715699409.2165198,2.197049,0.3690061,-1.0958257,-1.7868125,-1.2599125,5.846775
50,1715699409.2351646,2.4118195,0.9742049,-0.44178897,-2.6805625,-1.007325,6.831
51,1715699409.3193429,3.2584097,2.6765597,1.1041743,0.3906375,-0.73149997,2.0651126
52,1715699409.3494928,2.2688074,2.4244647,0.14943424,1.736075,-1.08625,1.459975
53,1715699409.366362,1.1892967,2.075948,-0.8097859,0.4076875,-0.1615625,0.870925
54,1715699409.3819075,0.62457186,1.8418959,-0.653104,-0.7470375,0.508475,0.7387875
55,1715699409.397596,0.18206422,1.630474,-0.13180429,-1.873025,1.065625,0.4351875
56,1715699409.413253,-0.0111162085,1.5321101,0.28154433,-1.91895,1.1039875,0.146575
57,1715699409.429604,-0.33108562,1.4608562,1.0990826,-0.6810375,0.8504375,-0.73974997
58,1715699409.4505546,-0.5634098,1.2675841,1.0740061,1.0393625,0.70661247,-1.7219125
59,1715699409.4920201,-0.52680427,0.7445413,0.18603976,2.1866624,0.67045,-3.262325
60,1715699409.5128932,-0.2261009,0.900107,0.20805812,1.8117,0.7236625,-3.3837376
61,1715699409.5334167,0.29143733,1.0669725,0.20784405,1.65935,0.6736125,-3.4508374
62,1715699409.5503669,1.7384251,1.3834863,0.20784405,1.2054625,0.2495625,-4.4917126
63,1715699409.5666957,2.200413,1.3896024,0.05382263,0.6664625,0.74387497,-6.130025
64,1715699409.58205,1.908058,1.3088684,0.21732417,0.1189375,1.3734875,-6.9279375
65,1715699409.5982342,1.8394495,1.3314984,0.30662078,0.1115125,1.4277999,-7.006725
66,1715699409.6138823,1.7157034,1.5082569,0.5273242,0.418275,1.1242,-6.989675
